XCOORD,YCOORD
-76.529330,36.953884
-76.531920,36.951795
-76.537270,36.940839
-76.530800,36.934899
-76.527260,36.933396
-76.519800,36.926950
-77.022900,36.686788
-77.040830,36.695729
-77.068540,36.717552
-77.125000,36.784116
-77.124510,36.624903
-77.124510,36.624903
-77.543480,36.702301
-77.553600,36.704052
-77.530180,36.546200
-77.519970,36.731666
-76.894300,36.907203
-76.982220,36.970340
-77.092850,37.036282
-77.172140,36.949208
-77.463120,36.806772
-76.973590,37.165587
-76.973590,37.165587
-76.973590,37.165587
-76.842290,37.124496
-76.835150,37.138226
-76.786400,37.182967
-76.361720,36.869200
-75.985960,36.847410
-75.975270,37.272125
-75.978410,37.288874
-75.938300,37.351088
-75.858400,37.475399
-75.820420,37.540352
-75.832020,37.521137
-75.831930,37.523976
-75.828890,37.534998
-75.822980,37.540220
-75.812810,37.543686
-75.785270,37.585685
-75.758200,37.625820
-75.742370,37.650301
-75.722120,37.688600
-75.716300,37.690818
-75.718890,37.696362
-75.716520,37.698004
-75.713140,37.700778
-75.705030,37.708984
-75.689270,37.716736
-75.672850,37.726330
-75.658130,37.731510
-75.620990,37.757002
-75.587980,37.819698
-75.562100,37.854393
-75.559480,37.857346
-75.549600,37.922231
-75.540830,37.944393
-75.540410,37.945983
