DIST,COUNTY,GPS_LAT,GPS_LONG,APPROACH1,APPROACH2,APPROACH3,APPROACH4
7,SCOTT,38.2044129742,-84.560307467,105 US-25,105 US-25,105 HIGHLAND AVE,105 CLAYTON AVE
7,SCOTT,38.2388613339,-84.5676320451,105 US-25,105 US-25,105 KY-32,105 KY-32
7,SCOTT,38.1833158956,-84.5611945054,105 US-25,105 US-25,105 US-460,105 US-460
7,SCOTT,38.1900185362,-84.5622398731,105 US-25,105 US-25,105 TOWN & COUNTRY BODY SHOP,105 WASHINGTON SQUARE
7,SCOTT,38.1925545675,-84.5618586387,105 US-25,105 US-25,105 SHOWALTER DR,105 SHOWALTER DR
7,SCOTT,38.2314850446,-84.5683072717,105 US-25,105 US-25,105 CARDINAL LANE, 
7,SCOTT,38.2098552319,-84.5580739977,105 US-460,105 US-460,105 HAMILTON ST,105 HAMILTON ST
7,SCOTT,38.2100701695,-84.5488064743,105 US-460,105 US-460,105 WASHINGTON ST, 
7,SCOTT,38.2164056066,-84.5332315217,105 US-460,105 US-460,105 KY-2906,105 1-75 RAMP
7,SCOTT,38.209120896,-84.596324889,105 US-460,105 US-460,105 US-460B, 
7,SCOTT,38.211076356,-84.6059429846,105 US-460,105 US-460,105 KY-227, 
7,SCOTT,38.2145881927,-84.5403672797,105 US-62,105 US-62,105 US-460,105 US-460
7,SCOTT,38.2312019038,-84.5353611383,105 US-62,105 US-62,105 KY-2906,105 OSBORNE WAY
7,SCOTT,38.252299998,-84.5269499974,105 US-62,105 US-62,105 KY-3487,105 TOYOTA GATE #6
7,SCOTT,38.2474333024,-84.526699998,105 US-62,105 US-62,105 TOYOTA GATE #7, 
7,SCOTT,38.1982760917,-84.5387374665,105 US-62,105 US-62,105 KY-1962,105 LEMONS MILL RD
7,SCOTT,38.2045481929,-84.5372796858,105 US-62,105 US-62,105 MAIN ST,105 MAIN ST
7,SCOTT,38.2239330599,-84.5389753802,105 US-62,105 US-62,105 I-75 RAMP, 
7,SCOTT,38.2271115056,-84.5371593258,105 US-62,105 US-62,105 I-75 RAMP, 
7,SCOTT,38.2220125909,-84.5401102088,105 US-62,105 US-62,105 DARBY LN,105 TIGER WAY
7,SCOTT,38.2205086222,-84.5409370053,105 US-62,105 US-62,105 KY-32,105 OUTLET CENTER DR
7,SCOTT,38.1864193805,-84.5483504745,105 US-62,105 US-62,105 QUALITY DRIVE, 
7,SCOTT,38.1715702244,-84.6003866544,105 US-62,105 US-62,105 KY-1973,105 KY-1973
7,SCOTT,38.1977133572,-84.5853204664,105 US-62,105 US-62,105 US-460B,105 PAYNES DEPOT RD
7,SCOTT,38.2127616594,-84.5398121517,105 US-62,105 US-62,105 FINLEY DR,
7,SCOTT,38.1854521803,-84.5706757367,105 US-62,105 US-62,105 KROGER,
7,SCOTT,38.2188746536,-84.5410035289,105 US-62,105 US-62,105 MORGAN MILL RD,
7,WOODFORD,38.0378283648,-84.7450103891,120 KY-1964,120 KY-1964,120 KY-2113,120 KY-2113
7,WOODFORD,38.0315344507,-84.7246253732,120 KY-33,120 KY-33,120 KY-2113,120 OLD DRY RIDGE RD
7,WOODFORD,38.0484511226,-84.7302035216,120 KY-33,120 KY-33,120 MONTGOMERY AVE, 
7,WOODFORD,38.0634590834,-84.7310771147,120 US-60,120 US-60,120 MEREWOOD DR, 
7,WOODFORD,38.058425857,-84.7215933725,120 US-60,120 US-60,120 DOUGLAS AVE,120 BIG SINK RD
7,WOODFORD,38.0502567708,-84.7094556937,120 US-60,120 US-60,120 MARSAILLES RD, 
7,WOODFORD,38.0510025679,-84.7151564829,120 US-60,120 US-60,120 US-60X, 
7,WOODFORD,38.0532565051,-84.7169358424,120 US-60,120 US-60,120 CROSSFIELD DR, 
7,WOODFORD,38.0443416305,-84.656678326,120 US-60,120 US-60,120 KY-1967,120 KY1967
7,WOODFORD,38.0446163331,-84.6660326937,120 US-60,120 US-60,120 HUNTERTOWN RD, 
7,WOODFORD,38.0496609115,-84.7028245213,120 US-60,120 US-60,120 PADDOCK DR, 
7,WOODFORD,38.0689169663,-84.7381557793,120 US-60,120 US-60,120 US-62, 
7,WOODFORD,38.0621288725,-84.7338664594,120 US-60X,120 US-60X,120 CAMDEN AVE,120 YELLOW JACKET RD
7,WOODFORD,38.0528736455,-84.7303251002,120 US-60X,120 US-60X,120 US-62,120 COURT ST
7,WOODFORD,38.0562464507,-84.7301246149,120 US-60X,120 US-60X,120 KY-1659,120 BROADWAY
7,WOODFORD,38.0527260055,-84.7287818883,120 US-60X,120 US-60X,120 N LOCUST ST,120 N LOCUST ST
7,WOODFORD,38.0436633258,-84.757850881,120 US-62,120 US-62,120 KY-2113,120 BEASLEY RD
7,WOODFORD,38.0514649426,-84.7305081538,120 US-62,120 US-62,120 KY-33,120 MORGAN ST
7,WOODFORD,38.1497663181,-84.6847013726,120 US-62,120 US-62,120 BRUEN ST,120 BRUEN ST
7,WOODFORD,38.1579644823,-84.6781362719,120 US-62,120 US-62,120 KY-341, 
8,ADAIR,37.093730934,-85.3032865606,001 KY-55,001 KY-55,001 HURT ST,001 HURT ST
8,ADAIR,37.0955696061,-85.3021852646,001 KY-55,001 KY-55,001 KY-80, 
8,ADAIR,37.1068180126,-85.3031452483,001 KY-55,001 KY-55,001 KY-206, 
8,ADAIR,37.1035110282,-85.3050300455,001 KY-55,001 KY-55,001 REED ST,001 MERCHANT
8,ADAIR,37.091474918,-85.30456753,001 KY-55,001 KY-55,001 KY-2287,001 CURRY ST
8,ADAIR,37.0887356115,-85.3197808531,001 KY-55,001 KY-55,001 KY-61,001 KY-80
8,ADAIR,37.1225649334,-85.2957880111,001 KY-55,001 KY-55,001 KY-55X,
8,ADAIR,37.0761100592,-85.3385027169,001 KY-61,001 KY-61,001 KY-80,001 KY-80
8,CASEY,37.317876465,-84.939904451,023 KY-49,023 KY-49,023 KY-70,023 KY-70
8,CASEY,37.3149001374,-84.932473561,023 US-127,023 US-127,023 KY-70,023 KY-70
8,CASEY,37.3233859027,-84.9248032332,023 US-127,023 US-127,023 OSH KOSH,023 MCDONALDS
8,CLINTON,36.690803246,-85.1350670449,027 US-127,027 US-127,027 KY-350,027 KY-350
8,CLINTON,36.6961066523,-85.1352620761,027 US-127,027 US-127,027 KY-1590, 
8,CLINTON,36.7002433937,-85.156304434,027 US-127,027 US-127,027 KY-1590,027 KY-1590
8,CUMBERLAND,36.7927570587,-85.3680925766,029 KY-61,029 KY-61,029 KY-90, 
8,LINCOLN,37.5368288723,-84.6534178734,069 KY-27,069 KY-27,069 KY-1247,069 LANCASTER
8,LINCOLN,37.5293232851,-84.6617185568,069 KY-78,069 KY-78,069 KY-1247,069 LANCASTER
8,LINCOLN,37.5291030715,-84.663294442,069 KY-78,069 KY-78,069 KY-1247,069 MILL ST
8,LINCOLN,37.5431584613,-84.656937442,069 US-150,069 US-150,069 SPRING VALLEY DR,069 MCDONALDS
8,LINCOLN,37.5300857161,-84.6529362476,069 US-27,069 US-27,069 KY-78,069 KY-78
8,LINCOLN,37.5408365441,-84.6521840923,069 US-27,069 US-27,069 US-150,069 US-150
8,LINCOLN,37.5481292781,-84.6460497793,069 US-27,069 US-27,069 WALMART, 
8,MCCREARY,36.6619164494,-84.4392628098,074 US-27,074 US-27,074 KY-2792,074 KY-1651
8,MCCREARY,36.7230136683,-84.4670754826,074 US-27,074 US-27,074 KY-478,074 KY-478
8,MCCREARY,36.6938478556,-84.4558873732,074 US-27,074 US-27,074 KY-1567,074 EAST APPLE TREE RD
8,MCCREARY,36.7042681837,-84.4605458108,074 US-27,074 US-27,074 KY-92, 
8,PULASKI,37.0913761844,-84.6043845294,100 KY-1247,100 KY-1247,100 MARKET ST,100 MARKET ST
